"mass_id","sn","dt","mg","note"
"1","35","2023-08-04 12:00:00","3011",
"2","69","2023-08-04 12:00:00","5263",
"3","46","2023-08-04 12:00:00","3900",
"4","80","2023-08-04 12:00:00","5286",
"5","32","2023-08-04 12:00:00","4459",
"6","37","2023-08-04 12:00:00","2600",
"7","117","2023-08-04 12:00:00","4187",
"8","132","2023-08-04 12:00:00","4614",
"9","100","2023-08-04 12:00:00","4578",
"10","72","2023-08-04 12:00:00","4122",
"11","33","2023-08-04 12:00:00","4009",
"12","68","2023-08-04 12:00:00","4253",
"13","47","2023-08-04 12:00:00","5705",
"14","142","2023-08-04 12:00:00","4244",
"15","98","2023-08-04 12:00:00","3333",
"16","130","2023-08-04 12:00:00","5386",
"17","73","2023-08-04 12:00:00","5566",
"18","113","2023-08-04 12:00:00","4831",
"19","79","2023-08-04 12:00:00","2253",
"20","25","2023-08-04 12:00:00","3833",
"21","35","2023-08-04 12:01:00","3216",
"22","69","2023-08-04 12:01:00","5465",
"23","46","2023-08-04 12:01:00","4084",
"24","80","2023-08-04 12:01:00","5470",
"25","32","2023-08-04 12:01:00","4632",
"26","37","2023-08-04 12:01:00","2736",
"27","117","2023-08-04 12:01:00","4288",
"28","132","2023-08-04 12:01:00","4653",
"29","100","2023-08-04 12:01:00","4613",
"30","72","2023-08-04 12:01:00","4145",
"31","33","2023-08-04 12:01:00","4026",
"32","68","2023-08-04 12:01:00","4270",
"33","47","2023-08-04 12:01:00","5719",
"34","142","2023-08-04 12:01:00","4253",
"35","98","2023-08-04 12:01:00","3342",
"36","130","2023-08-04 12:01:00","5395",
"37","73","2023-08-04 12:01:00","5569",
"38","113","2023-08-04 12:01:00","4834",
"39","79","2023-08-04 12:01:00","2255",
"40","25","2023-08-04 12:01:00","3835",
"42","54","2023-08-15 12:00:00","3452",
"43","180","2023-08-15 12:00:00","4676",
"44","136","2023-08-15 12:00:00","4401",
"45","129","2023-08-15 12:00:00","3305",
"46","42","2023-08-15 12:00:00","4504",
"47","22","2023-08-15 12:00:00","3399",
"48","18","2023-08-15 12:00:00","4437",
"49","83","2023-08-15 12:00:00","3689",
"50","173","2023-08-15 12:00:00","3584",
"51","31","2023-08-15 12:00:00","4637",
"52","120","2023-08-15 12:00:00","2844",
"53","105","2023-08-15 12:00:00","5233",
"54","151","2023-08-15 12:00:00","4100",
"55","147","2023-08-15 12:00:00","2984",
"56","149","2023-08-15 12:00:00","4403",
"57","126","2023-08-15 12:00:00","3139",
"58","144","2023-08-15 12:00:00","2927",
"59","86","2023-08-15 12:00:00","5592",
"60","202","2023-08-15 12:00:00","4031",
"61","200","2023-08-15 12:00:00","5495",
"62","19","2023-08-15 12:00:00","1921",
"63","110","2023-08-15 12:00:00","3471",
"64","58","2023-08-15 12:00:00","3436",
"65","162","2023-08-15 12:00:00","5339",
"66","71","2023-08-15 12:00:00","5472",
"67","119","2023-08-15 12:00:00","3128",
"68","128","2023-08-15 12:00:00","3422",
"69","207","2023-08-15 12:00:00","3117",
"70","114","2023-08-15 12:00:00","4164",
"71","121","2023-08-15 12:00:00","2735",
"72","127","2023-08-15 12:00:00","5584",
"73","204","2023-08-15 12:00:00","2774",
"74","205","2023-08-15 12:00:00","4253",
"75","41","2023-08-15 12:00:00","3505",
"76","62","2023-08-15 12:00:00","3426",
"77","92","2023-08-15 12:00:00","4277",
"78","169","2023-08-15 12:00:00","3080",
"79","134","2023-08-15 12:00:00","3716",
"80","59","2023-08-15 12:00:00","2905",
"81","193","2023-08-15 12:00:00","4602",
"82","166","2023-08-15 12:00:00","5461",
"83","192","2023-08-15 12:00:00","4917",
"84","124","2023-08-15 12:00:00","3162",
"85","150","2023-08-15 12:00:00","3137",
"86","186","2023-08-15 12:00:00","4156",
"87","181","2023-08-15 12:00:00","4935",
"88","195","2023-08-15 12:00:00","4439",
"89","206","2023-08-15 12:00:00","4613",
"90","214","2023-08-15 12:00:00","5602",
"91","171","2023-08-15 12:00:00","4115",
"92","54","2023-08-15 12:01:00","3686",
"93","180","2023-08-15 12:01:00","4884",
"94","136","2023-08-15 12:01:00","4603",
"95","129","2023-08-15 12:01:00","3495",
"96","42","2023-08-15 12:01:00","4686",
"97","22","2023-08-15 12:01:00","3548",
"98","18","2023-08-15 12:01:00","4585",
"99","83","2023-08-15 12:01:00","3832",
"100","173","2023-08-15 12:01:00","3727",
"101","31","2023-08-15 12:01:00","4774",
"102","120","2023-08-15 12:01:00","2980",
"103","105","2023-08-15 12:01:00","5348",
"104","151","2023-08-15 12:01:00","4215",
"105","147","2023-08-15 12:01:00","3097",
"106","149","2023-08-15 12:01:00","4515",
"107","126","2023-08-15 12:01:00","3249",
"108","144","2023-08-15 12:01:00","3034",
"109","86","2023-08-15 12:01:00","5696",
"110","202","2023-08-15 12:01:00","4132",
"111","200","2023-08-15 12:01:00","5594",
"112","19","2023-08-15 12:01:00","2016",
"113","110","2023-08-15 12:01:00","3566",
"114","58","2023-08-15 12:01:00","3529",
"115","162","2023-08-15 12:01:00","5423",
"116","71","2023-08-15 12:01:00","5552",
"117","119","2023-08-15 12:01:00","3207",
"118","128","2023-08-15 12:01:00","3500",
"119","207","2023-08-15 12:01:00","3195",
"120","114","2023-08-15 12:01:00","4241",
"121","121","2023-08-15 12:01:00","2807",
"122","127","2023-08-15 12:01:00","5653",
"123","204","2023-08-15 12:01:00","2842",
"124","205","2023-08-15 12:01:00","4318",
"125","41","2023-08-15 12:01:00","3557",
"126","62","2023-08-15 12:01:00","3478",
"127","92","2023-08-15 12:01:00","4327",
"128","169","2023-08-15 12:01:00","3120",
"129","134","2023-08-15 12:01:00","3751",
"130","59","2023-08-15 12:01:00","2939",
"131","193","2023-08-15 12:01:00","4635",
"132","166","2023-08-15 12:01:00","5492",
"133","192","2023-08-15 12:01:00","4945",
"134","124","2023-08-15 12:01:00","3190",
"135","150","2023-08-15 12:01:00","3162",
"136","186","2023-08-15 12:01:00","4179",
"137","181","2023-08-15 12:01:00","4948",
"138","195","2023-08-15 12:01:00","4452",
"139","206","2023-08-15 12:01:00","4613",
"140","214","2023-08-15 12:01:00","5597",
"141","171","2023-08-15 12:01:00","4109",
"142","54","2023-08-15 12:00:00","3452",
"143","180","2023-08-15 12:00:00","4676",
"144","136","2023-08-15 12:00:00","4401",
"145","129","2023-08-15 12:00:00","3305",
"146","42","2023-08-15 12:00:00","4504",
"147","22","2023-08-15 12:00:00","3399",
"148","18","2023-08-15 12:00:00","4437",
"149","83","2023-08-15 12:00:00","3689",
"150","173","2023-08-15 12:00:00","3584",
"151","31","2023-08-15 12:00:00","4637",
"152","120","2023-08-15 12:00:00","2844",
"153","105","2023-08-15 12:00:00","5233",
"154","151","2023-08-15 12:00:00","4100",
"155","147","2023-08-15 12:00:00","2984",
"156","149","2023-08-15 12:00:00","4403",
"157","126","2023-08-15 12:00:00","3139",
"158","144","2023-08-15 12:00:00","2927",
"159","86","2023-08-15 12:00:00","5592",
"160","202","2023-08-15 12:00:00","4031",
"161","200","2023-08-15 12:00:00","5495",
"162","19","2023-08-15 12:00:00","1921",
"163","110","2023-08-15 12:00:00","3471",
"164","58","2023-08-15 12:00:00","3436",
"165","162","2023-08-15 12:00:00","5339",
"166","71","2023-08-15 12:00:00","5472",
"167","119","2023-08-15 12:00:00","3128",
"168","128","2023-08-15 12:00:00","3422",
"169","207","2023-08-15 12:00:00","3117",
"170","114","2023-08-15 12:00:00","4164",
"171","121","2023-08-15 12:00:00","2735",
"172","127","2023-08-15 12:00:00","5584",
"173","204","2023-08-15 12:00:00","2774",
"174","205","2023-08-15 12:00:00","4253",
"175","41","2023-08-15 12:00:00","3505",
"176","62","2023-08-15 12:00:00","3426",
"177","92","2023-08-15 12:00:00","4277",
"178","169","2023-08-15 12:00:00","3080",
"179","134","2023-08-15 12:00:00","3716",
"180","59","2023-08-15 12:00:00","2905",
"181","193","2023-08-15 12:00:00","4602",
"182","166","2023-08-15 12:00:00","5461",
"183","192","2023-08-15 12:00:00","4917",
"184","124","2023-08-15 12:00:00","3162",
"185","150","2023-08-15 12:00:00","3137",
"186","186","2023-08-15 12:00:00","4156",
"187","181","2023-08-15 12:00:00","4935",
"188","195","2023-08-15 12:00:00","4439",
"189","206","2023-08-15 12:00:00","4613",
"190","214","2023-08-15 12:00:00","5602",
"191","171","2023-08-15 12:00:00","4115",
"192","54","2023-08-15 12:01:00","3686",
"193","180","2023-08-15 12:01:00","4884",
"194","136","2023-08-15 12:01:00","4603",
"195","129","2023-08-15 12:01:00","3495",
"196","42","2023-08-15 12:01:00","4686",
"197","22","2023-08-15 12:01:00","3548",
"198","18","2023-08-15 12:01:00","4585",
"199","83","2023-08-15 12:01:00","3832",
"200","173","2023-08-15 12:01:00","3727",
"201","31","2023-08-15 12:01:00","4774",
"202","120","2023-08-15 12:01:00","2980",
"203","105","2023-08-15 12:01:00","5348",
"204","151","2023-08-15 12:01:00","4215",
"205","147","2023-08-15 12:01:00","3097",
"206","149","2023-08-15 12:01:00","4515",
"207","126","2023-08-15 12:01:00","3249",
"208","144","2023-08-15 12:01:00","3034",
"209","86","2023-08-15 12:01:00","5696",
"210","202","2023-08-15 12:01:00","4132",
"211","200","2023-08-15 12:01:00","5594",
"212","19","2023-08-15 12:01:00","2016",
"213","110","2023-08-15 12:01:00","3566",
"214","58","2023-08-15 12:01:00","3529",
"215","162","2023-08-15 12:01:00","5423",
"216","71","2023-08-15 12:01:00","5552",
"217","119","2023-08-15 12:01:00","3207",
"218","128","2023-08-15 12:01:00","3500",
"219","207","2023-08-15 12:01:00","3195",
"220","114","2023-08-15 12:01:00","4241",
"221","121","2023-08-15 12:01:00","2807",
"222","127","2023-08-15 12:01:00","5653",
"223","204","2023-08-15 12:01:00","2842",
"224","205","2023-08-15 12:01:00","4318",
"225","41","2023-08-15 12:01:00","3557",
"226","62","2023-08-15 12:01:00","3478",
"227","92","2023-08-15 12:01:00","4327",
"228","169","2023-08-15 12:01:00","3120",
"229","134","2023-08-15 12:01:00","3751",
"230","59","2023-08-15 12:01:00","2939",
"231","193","2023-08-15 12:01:00","4635",
"232","166","2023-08-15 12:01:00","5492",
"233","192","2023-08-15 12:01:00","4945",
"234","124","2023-08-15 12:01:00","3190",
"235","150","2023-08-15 12:01:00","3162",
"236","186","2023-08-15 12:01:00","4179",
"237","181","2023-08-15 12:01:00","4948",
"238","195","2023-08-15 12:01:00","4452",
"239","206","2023-08-15 12:01:00","4613",
"240","214","2023-08-15 12:01:00","5597",
"241","171","2023-08-15 12:01:00","4109",
"244","2","2023-08-24 12:00:00","3002",
"245","4","2023-08-24 12:00:00","5610",
"246","7","2023-08-24 12:00:00","5912",
"247","11","2023-08-24 12:00:00","4747",
"248","36","2023-08-24 12:00:00","3255",
"249","40","2023-08-24 12:00:00","3611",
"250","65","2023-08-24 12:00:00","3585",
"251","66","2023-08-24 12:00:00","4276",
"252","67","2023-08-24 12:00:00","3310",
"253","75","2023-08-24 12:00:00","3889",
"254","81","2023-08-24 12:00:00","2689",
"255","91","2023-08-24 12:00:00","3513",
"256","95","2023-08-24 12:00:00","3006",
"257","96","2023-08-24 12:00:00","3533",
"258","101","2023-08-24 12:00:00","3893",
"259","104","2023-08-24 12:00:00","4990",
"260","106","2023-08-24 12:00:00","4450",
"261","107","2023-08-24 12:00:00","4911",
"262","109","2023-08-24 12:00:00","3154",
"263","111","2023-08-24 12:00:00","3564",
"264","116","2023-08-24 12:00:00","3701",
"265","123","2023-08-24 12:00:00","3777",
"266","135","2023-08-24 12:00:00","3434",
"267","138","2023-08-24 12:00:00","2898",
"268","143","2023-08-24 12:00:00","4484",
"269","152","2023-08-24 12:00:00","3259",
"270","153","2023-08-24 12:00:00","2787",
"271","154","2023-08-24 12:00:00","3571",
"272","158","2023-08-24 12:00:00","4729",
"273","159","2023-08-24 12:00:00","3190",
"274","164","2023-08-24 12:00:00","5442",
"275","170","2023-08-24 12:00:00","3290",
"276","175","2023-08-24 12:00:00","5259",
"277","177","2023-08-24 12:00:00","3217",
"278","183","2023-08-24 12:00:00","4987",
"279","184","2023-08-24 12:00:00","3155",
"280","185","2023-08-24 12:00:00","4210",
"281","188","2023-08-24 12:00:00","2744",
"282","189","2023-08-24 12:00:00","3366",
"283","191","2023-08-24 12:00:00","3450",
"284","196","2023-08-24 12:00:00","4840",
"285","197","2023-08-24 12:00:00","5467",
"286","203","2023-08-24 12:00:00","2173",
"287","208","2023-08-24 12:00:00","4167",
"288","209","2023-08-24 12:00:00","3566",
"289","211","2023-08-24 12:00:00","3648",
"290","212","2023-08-24 12:00:00","4281",
"291","216","2023-08-24 12:00:00","3842",
"292","263","2023-08-24 12:00:00","5173",
"293","273","2023-08-24 12:00:00","2651",
"294","2","2023-08-24 12:01:00","3096",
"295","4","2023-08-24 12:01:00","5785",
"296","7","2023-08-24 12:01:00","5988",
"297","11","2023-08-24 12:01:00","4813",
"298","36","2023-08-24 12:01:00","3366",
"299","40","2023-08-24 12:01:00","3682",
"300","65","2023-08-24 12:01:00","3629",
"301","66","2023-08-24 12:01:00","4311",
"302","67","2023-08-24 12:01:00","3391",
"303","75","2023-08-24 12:01:00","4085",
"304","81","2023-08-24 12:01:00","2814",
"305","91","2023-08-24 12:01:00","3540",
"306","95","2023-08-24 12:01:00","3096",
"307","96","2023-08-24 12:01:00","3558",
"308","101","2023-08-24 12:01:00","3927",
"309","104","2023-08-24 12:01:00","5071",
"310","106","2023-08-24 12:01:00","4558",
"311","107","2023-08-24 12:01:00","4932",
"312","109","2023-08-24 12:01:00","3318",
"313","111","2023-08-24 12:01:00","3591",
"314","116","2023-08-24 12:01:00","3878",
"315","123","2023-08-24 12:01:00","3844",
"316","135","2023-08-24 12:01:00","4360",
"317","138","2023-08-24 12:01:00","2948",
"318","143","2023-08-24 12:01:00","4501",
"319","152","2023-08-24 12:01:00","3380",
"320","153","2023-08-24 12:01:00","2840",
"321","154","2023-08-24 12:01:00","3652",
"322","158","2023-08-24 12:01:00","4802",
"323","159","2023-08-24 12:01:00","3253",
"324","164","2023-08-24 12:01:00","5550",
"325","170","2023-08-24 12:01:00","3423",
"326","175","2023-08-24 12:01:00","5315",
"327","177","2023-08-24 12:01:00","3248",
"328","183","2023-08-24 12:01:00","5017",
"329","184","2023-08-24 12:01:00","3281",
"330","185","2023-08-24 12:01:00","4304",
"331","188","2023-08-24 12:01:00","2843",
"332","189","2023-08-24 12:01:00","3447",
"333","191","2023-08-24 12:01:00","3546",
"334","196","2023-08-24 12:01:00","4852",
"335","197","2023-08-24 12:01:00","5527",
"336","203","2023-08-24 12:01:00","2254",
"337","208","2023-08-24 12:01:00","4171",
"338","209","2023-08-24 12:01:00","3567",
"339","211","2023-08-24 12:01:00","3731",
"340","212","2023-08-24 12:01:00","4349",
"341","216","2023-08-24 12:01:00","3883",
"342","263","2023-08-24 12:01:00","5200",
"343","273","2023-08-24 12:01:00","2827",
"344","1","2023-07-27 16:25:12","3322",
"345","2","2023-07-27 16:26:38","3606",
"346","6","2023-07-27 15:54:59","3716",
"347","7","2023-07-27 15:56:36","6394",
"348","9","2023-07-27 15:58:58","4326",
"349","11","2023-07-27 15:43:05","7445",
"350","12","2023-07-27 16:19:17","4850",
"351","13","2023-07-27 16:25:54","4325",
"352","14","2023-07-27 15:36:05","5739",
"353","15","2023-07-27 16:03:39","4652",
"354","16","2023-07-27 15:15:45","3495",
"355","17","2023-07-27 15:16:38","4164",
"356","18","2023-07-27 15:17:52","4643",
"357","19","2023-07-27 15:22:29","4197",
"358","22","2023-07-27 14:29:18","3830",
"359","23","2023-07-27 14:30:26","3137",
"360","31","2023-07-27 16:32:59","4896",
"361","32","2023-07-27 16:31:41","4817",
"362","33","2023-07-27 16:30:28","4102",
"363","34","2023-07-27 16:35:10","5166",
"364","35","2023-07-27 16:34:04","3386",
"365","37","2023-07-27 16:02:43","2831",
"366","38","2023-07-27 16:04:35","3434",
"367","40","2023-07-27 16:00:29","4070",
"368","41","2023-07-27 16:28:06","3977",
"369","42","2023-07-27 16:21:39","5131",
"370","43","2023-07-27 16:30:51","5042",
"371","44","2023-07-27 16:33:38","3492",
"372","45","2023-07-27 16:36:40","3607",
"373","46","2023-07-27 15:26:12","4266",
"374","47","2023-07-27 15:27:55","5830",
"375","48","2023-07-27 15:29:10","3166",
"376","49","2023-07-27 15:30:07","4723",
"377","54","2023-07-27 14:37:06","4276",
"378","58","2023-07-27 14:08:04","3794",
"379","59","2023-07-27 14:08:56","3237",
"380","61","2023-07-27 16:37:57","1886",
"381","62","2023-07-27 16:38:55","3897",
"382","65","2023-07-27 16:39:57","3958",
"383","69","2023-07-27 16:09:46","5227",
"384","70","2023-07-27 16:10:59","3911",
"385","71","2023-07-27 16:06:20","5470",
"386","72","2023-07-27 16:09:57","4380",
"387","74","2023-07-27 16:14:27","4396",
"388","75","2023-07-27 16:16:53","4412",
"389","76","2023-07-27 15:36:15","4726",
"390","78","2023-07-27 15:37:41","5869",
"391","79","2023-07-27 15:38:46","2328",
"392","81","2023-07-27 14:41:03","3324",
"393","82","2023-07-27 14:42:30","2620",
"394","83","2023-07-27 14:53:42","4384",
"395","84","2023-07-27 14:47:18","4124",
"396","85","2023-07-27 14:46:22","3203",
"397","86","2023-07-27 14:12:17","6007",
"398","87","2023-07-27 14:14:42","5730",
"399","88","2023-07-27 14:15:48","5083",
"400","90","2023-07-27 14:17:08","6009",
"401","91","2023-07-27 16:47:57","3669",
"402","92","2023-07-27 16:49:09","4626",
"403","93","2023-07-27 16:50:14","3127",
"404","94","2023-07-27 16:51:15","2685",
"405","95","2023-07-27 16:46:32","3782",
